Job;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created
(Junior) Werkvoorbereider;Netherlands;Zeeland;;81;8;0;0;0;0;0;0.098765;0;0;0;0;30-10-2025;30-9-2025
(Senior) Project Manager;Netherlands;Noord-Holland;Amsterdam;362;59;7;0;0.2016949152542373;1.7;0;0.162983;0;0.118644;0;11.9;22-5-2025;15-5-2025
Accountmanager;Netherlands;Utrecht (provincie);Amersfoort;543;51;1;0;0.22;11.22;0;0.093923;0;0.019608;0;11.22;22-5-2025;16-5-2025
Accountmanager;Netherlands;Utrecht (provincie);Amersfoort;291;26;0;0;0;0;0;0.089347;0;0;0;0;22-5-2025;16-5-2025
Accountmanager;Netherlands;Utrecht (provincie);Amersfoort;223;29;2;0;0.27620689655172415;4.005;0;0.130045;0;0.068966;0;8.01;22-5-2025;16-5-2025
Adviseur Assetmanagement (waterwingebieden);Netherlands;Zuid-Holland;Gouda;122;8;1;0;0.35125;2.81;0;0.065574;0;0.125;0;2.81;19-6-2025;3-6-2025
All-round Service Monteur;Netherlands;Overijssel;Oldenzaal;79;8;0;0;0;0;0;0.101266;0;0;0;0;19-6-2025;4-6-2025
Allround Maintenance Technician;Netherlands;Zuid-Holland;Leiden;112;16;1;0;0;0;0;0.142857;0;0.0625;0;0;22-5-2025;14-5-2025
Allround Onderhoudsmonteur Dagdienst;Netherlands;Overijssel;Deventer;32;6;0;0;0;0;0;0.1875;0;0;0;0;18-9-2025;19-8-2025
Assistant Site Leader;Netherlands;Zuid-Holland;Rotterdam;184;11;0;0;0;0;0;0.059783;0;0;0;0;22-5-2025;15-5-2025
Assistent Project Manager;Netherlands;Limburg;Heerlen;211;30;3;0;0.8183333333333332;8.183.333.333.333.330;0;0.14218;0;0.1;0;24.549.999.999.999.900;28-6-2025;27-6-2025
