Job;Standard;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created;;;Functietitel;Gestandaardiseerde titel
Accountmanager;Accountmanager;Netherlands;Utrecht (provincie);Amersfoort;543;51;1;0;0.22;11.22;0;0.093923;0;0.019608;0;11.22;22-5-2025;16-5-2025;;;.NET Developer;
Accountmanager;Accountmanager;Netherlands;Utrecht (provincie);Amersfoort;291;26;0;0;0;0;0;0.089347;0;0;0;0;22-5-2025;16-5-2025;;;Accountmanager Detachering;
Accountmanager;Accountmanager;Netherlands;Utrecht (provincie);Amersfoort;223;29;2;0;0.27620689655172415;4.005;0;0.130045;0;0.068966;0;8.01;22-5-2025;16-5-2025;;;Agile Coach;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Steenwijk;72;4;0;0;0;0;0;0.055556;0;0;0;0;22-5-2025;6-5-2025;;;Assistent uitvoerder civiel;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Noord-Holland;Schagen;74;6;0;0;0;0;0;0.081081;0;0;0;0;22-5-2025;6-5-2025;;;Business Analyst;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Ommen;196;6;1;0;0.6783333333333333;4.07;0;0.030612;0;0.166667;0;4.07;22-5-2025;6-5-2025;;;Consultant Finance;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Groningen;381;20;1;0;0.20099999999999998;4.02;0;0.052493;0;0.05;0;4.02;22-5-2025;6-5-2025;;;Corporate Banking & Lending Traineeship Amersfoort;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Drachten;94;5;1;0;19.420.000.000.000.000;9.71;0;0.053191;0;0.2;0;9.71;22-5-2025;6-5-2025;;;E&I Technician;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Oldenzaal;174;8;3;0;1.395;3.72;0;0.045977;0;0.375;0;11.16;22-5-2025;6-5-2025;;;Embedded Software Engineer (Automotive);
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Zwolle;129;4;0;0;0;0;0;0.031008;0;0;0;0;22-5-2025;6-5-2025;;;Financial Controller Brunel;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Assen;114;4;0;0;0;0;0;0.035088;0;0;0;0;22-5-2025;6-5-2025;;;Functioneel Beheerder;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Marum;142;5;0;0;0;0;0;0.035211;0;0;0;0;22-5-2025;6-5-2025;;;Industriâle Automatisering Traineeship;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Marum;196;7;1;0;23.728.571.428.571.400;16.61;0;0.035714;0;0.142857;0;16.61;22-5-2025;6-5-2025;;;International Recruiter;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Meppel;219;11;2;0;38.245.454.545.454.500;21.035;0;0.050228;0;0.181818;0;42.07;22-5-2025;6-5-2025;;;Java Developer (Spring Boot);
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Bedum;89;5;0;0;0;0;0;0.05618;0;0;0;0;22-5-2025;6-5-2025;;;Junior Java Engineer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Wolvega;51;5;0;0;0;0;0;0.098039;0;0;0;0;22-5-2025;6-5-2025;;;Junior Java Engineer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Zuidhorn;140;4;0;0;0;0;0;0.028571;0;0;0;0;22-5-2025;6-5-2025;;;Junior Project Engineer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Workum;276;11;1;0;11.354.545.454.545.400;12.49;0;0.039855;0;0.090909;0;12.49;22-5-2025;6-5-2025;;;Jurist Arbeidsrecht;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Emmen;212;8;0;0;0;0;0;0.037736;0;0;0;0;22-5-2025;7-5-2025;;;Jurist Bezwaar en Beroep bij de Rijksoverheid;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Hoogeveen;137;4;0;0;0;0;0;0.029197;0;0;0;0;22-5-2025;12-5-2025;;;Jurist Letselschade Achmea;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Balkbrug;224;13;0;0;0;0;0;0.058036;0;0;0;0;22-5-2025;16-5-2025;;;Jurist Rechtsbijstand (Junior);
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Noord-Holland;Lutjewinkel;215;19;1;0;0.4957894736842105;9.42;0;0.088372;0;0.052632;0;9.42;19-6-2025;2-6-2025;;;Jurist Rechtsbijstand (medior);
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Workum;191;10;0;0;0;0;0;0.052356;0;0;0;0;19-6-2025;2-6-2025;;;Lab Technician;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Beilen;196;12;1;0;0.9116666666666666;10.94;0;0.061224;0;0.083333;0;10.94;19-6-2025;2-6-2025;;;Mechanical / R&D Engineer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Leeuwarden;342;21;0;0;0;0;0;0.061404;0;0;0;0;19-6-2025;2-6-2025;;;Mechanical Engineer ? Machinebouw;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Meppel;133;4;0;0;0;0;0;0.030075;0;0;0;0;19-6-2025;16-6-2025;;;Medewerker ICT-Servicedesk;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Zuidhorn;100;4;1;0;0.7375;2.95;0;0.04;0;0.25;0;2.95;19-6-2025;16-6-2025;;;Operations Officer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Drachten;202;5;0;0;0;0;0;0.024752;0;0;0;0;19-6-2025;16-6-2025;;;Overheidsjurist Omgevingsrecht;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Noord-Holland;Schagen;105;6;2;0;28.000.000.000.000.000;8.4;0;0.057143;0;0.333333;0;16.8;19-6-2025;16-6-2025;;;Privacy Officer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Balkbrug;71;5;1;0;0.564;2.82;0;0.070423;0;0.2;0;2.82;19-6-2025;16-6-2025;;;Project Control & Scheduling Manager;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Bedum;105;6;0;0;0;0;0;0.057143;0;0;0;0;19-6-2025;16-6-2025;;;Project Engineer Offshore Wind;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Emmen;122;5;0;0;0;0;0;0.040984;0;0;0;0;19-6-2025;16-6-2025;;;Project Management Officer (PMO);
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Workum;80;6;0;0;0;0;0;0.075;0;0;0;0;19-6-2025;16-6-2025;;;Projectmanager IT;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Hoogeveen;62;5;0;0;0;0;0;0.080645;0;0;0;0;19-6-2025;16-6-2025;;;Projectmanager IT Infra;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Drenthe;Assen;154;5;0;0;0;0;0;0.032468;0;0;0;0;19-6-2025;16-6-2025;;;Python developer, Senior - 80% Remote;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Overijssel;Balkbrug;96;4;1;0;4.99;19.96;0;0.041667;0;0.25;0;19.96;19-6-2025;16-6-2025;;;Senior .Net Azure Developer;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Groningen (provincie);Marum;102;6;0;0;0;0;0;0.058824;0;0;0;0;19-6-2025;16-6-2025;;;Senior Legal Counsel;
Traineeship Technische Bedrijfskunde;Bedrijfsbeheerder;Netherlands;Friesland;Wolvega;88;7;1;0;15.528.571.428.571.400;10.87;0;0.079545;0;0.142857;0;10.87;19-6-2025;16-6-2025;;;Teamlead FEC CDD Higher Risk Customers RDT;
